# mmed gq
# Private communication with Marc Osherson (oshersonmarc@gmail.com)
10.0 0.226046843486
15.0 0.178831789302
20.0 0.173823977383
25.0 0.164140246513
30.0 0.180024516135
35.0 0.144003433109
40.0 0.180287823129
45.0 0.177674059313
50.0 0.145894943482
55.0 0.123247280825
60.0 0.1275632009
65.0 0.157364058637
70.0 0.203703446968
75.0 0.202804712579
80.0 0.218142261731
85.0 0.149504985376
90.0 0.155719871243
95.0 0.162523865438
100.0 0.134095335738
105.0 0.140555208524
110.0 0.134774291921
115.0 0.145405916036
120.0 0.193564822015
125.0 0.149224103353
