# mmed gq
# Private communication with Marc Osherson (oshersonmarc@gmail.com)
10.0 0.22750343404
15.0 0.180121004852
20.0 0.165687226256
25.0 0.139560010489
30.0 0.141490392783
35.0 0.134814365683
40.0 0.144149505241
45.0 0.138388856829
50.0 0.13661330259
55.0 0.144149505241
60.0 0.147313912747
65.0 0.161037758685
70.0 0.166991870228
75.0 0.17523545668
80.0 0.196265038348
85.0 0.204919953884
90.0 0.199010137235
95.0 0.19515618745
100.0 0.172111579603
105.0 0.191791173328
110.0 0.196265038348
115.0 0.182514744458
120.0 0.195711398209
125.0 0.188653857045
